,Hãng xe,Dòng xe,Giá thành,Năm sản xuất,Số Km đã đi,Dung tích động cơ,Loại động cơ,Hộp số,Xuất xứ,Kiểu dáng,Tuổi thọ
0,audi,a6 2.0 tfsi 2014,499,2014.0,68000.0,2.0,xăng,số tự động,nhập khẩu,sedan,31.0
1,bmw,x4 xdrive20i m sport 2020,1750,2020.0,40000.0,2.0,xăng,số tự động,nhập khẩu,suv,32.0
2,bmw,x6 xdrive35i 2008,450,2008.0,179626.7683965918,3.0,xăng,số tự động,nhập khẩu,suv,31.0
3,ford,territory titanium 1.5 at 2022,735,2022.0,55000.0,1.5,xăng,số tự động,lắp ráp trong nước,suv,32.0
4,kia,morning si at 2015,248,2015.0,70000.0,1.25,xăng,số tự động,lắp ráp trong nước,hatchback,31.0
5,kia,sedona 2.2l dath 2018,645,2018.0,73000.0,2.2,dầu,số tự động,lắp ráp trong nước,van/minivan,32.0
6,kia,sonet premium 1.5 at 2023,565,2023.0,30000.0,1.5,xăng,số tự động,lắp ráp trong nước,crossover,32.0
7,mazda,3 1.5l luxury 2023,560,2023.0,18068.0,1.5,xăng,số tự động,lắp ráp trong nước,sedan,31.0
8,mercedes,benz e class e200 2019,1039,2019.0,66000.0,2.0,xăng,số tự động,lắp ráp trong nước,sedan,31.0
9,mercedes,benz e class e250 2010,315,2010.0,150000.0,1.8,xăng,số tự động,lắp ráp trong nước,sedan,31.0
10,mercedes,benz eqb 250 2024,2239,2024.0,10.0,0.7,điện,số tự động,nhập khẩu,suv,31.0
11,mercedes,benz g class g63 amg 2021,7586,2021.0,179626.7683965918,4.0,xăng,số tự động,nhập khẩu,suv,31.0
12,mitsubishi,attrage premium 1.2 cvt 2022,360,2022.0,62000.0,1.2,xăng,số tự động,nhập khẩu,sedan,32.0
13,mitsubishi,triton 4x2 at mivec 2021,500,2021.0,60000.0,2.4,dầu,số tự động,nhập khẩu,bán tải / pickup,31.0
14,peugeot,408 premium 1.6 at 2023,890,2023.0,19000.0,1.6,xăng,số tự động,lắp ráp trong nước,crossover,32.0
15,suzuki,grand vitara xl,7,2003.0,190000.0,2.7,xăng,số tự động,nhập khẩu,suv,32.0
16,toyota,camry 2.0 mt trước 1990,139,1989.0,170000.0,2.0,xăng,số tay,nhập khẩu,sedan,31.0
17,toyota,corolla cross 1.8v 2021,685,2021.0,61000.0,1.8,xăng,số tự động,nhập khẩu,suv,32.0
18,toyota,veloz cross 1.5 cvt 2022,530,2022.0,32000.0,1.5,xăng,số tự động,nhập khẩu,suv,31.0
19,audi,a4 40 tfsi advanced 2019,989,2019.0,22000.0,2.0,xăng,số tự động,nhập khẩu,sedan,32.0
20,bmw,3 series 320i sport line 2022,1279,2022.0,42000.0,2.0,xăng,số tự động,lắp ráp trong nước,sedan,32.0
21,bmw,5 series 520i 2023,1738,2023.0,21000.0,2.0,xăng,số tự động,lắp ráp trong nước,sedan,32.0
22,honda,crv 2.4 at 2014,465,2014.0,90000.0,2.4,xăng,số tự động,lắp ráp trong nước,suv,32.0
23,hyundai,santafe cao cấp 2.2l htrac 2023,1190,2023.0,44000.0,2.2,dầu,số tự động,lắp ráp trong nước,suv,32.0
24,kia,carnival premium 2.2d 2022,1090,2022.0,70000.0,2.2,dầu,số tự động,lắp ráp trong nước,van/minivan,32.0
25,lexus,lx 600 urban 2025,9399,2025.0,4000.0,3.4,xăng,số tự động,nhập khẩu,suv,32.0
26,mazda,cx5 2.0 at 2017,495,2017.0,120000.0,2.0,xăng,số tự động,lắp ráp trong nước,suv,32.0
27,mercedes,benz cla class cla 200 2018,679,2018.0,42000.0,1.6,xăng,số tự động,nhập khẩu,sedan,32.0
28,mercedes,benz e class e200 2019,1038,2019.0,65000.0,2.0,xăng,số tự động,lắp ráp trong nước,sedan,32.0
