Hãng xe,Dòng xe,Giá thành,Năm sản xuất,Số Km đã đi,Xuất xứ,Kiểu dáng,Hộp số,Tuổi thọ,Loại động cơ,Dung tích động cơ
Audi,A6 2 0 Tfsi 2014,499000000,2014,68000,Nhập khẩu,Sedan,Số tự động,30,xăng,2.0
Bmw,X4 Xdrive20I M Sport 2020,1750000000,2020,40000,Nhập khẩu,SUV,Số tự động,31,xăng,2.0
Bmw,X6 Xdrive35I 2008,450000000,2008,0,Nhập khẩu,SUV,Số tự động,30,xăng,3.0
Ford,Territory Titanium 1 5 At 2022,735000000,2022,55000,Lắp ráp trong nước,SUV,Số tự động,31,xăng,1.5
Kia,Morning Si At 2015,248000000,2015,70000,Lắp ráp trong nước,Hatchback,Số tự động,30,xăng,1.25
Kia,Sedona 2 2L Dath 2018,645000000,2018,73000,Lắp ráp trong nước,Van/Minivan,Số tự động,31,dầu,2.2
Kia,Sonet Premium 1 5 At 2023,565000000,2023,30000,Lắp ráp trong nước,Crossover,Số tự động,31,xăng,1.5
Mazda,3 1 5L Luxury 2023,560000000,2023,18068,Lắp ráp trong nước,Sedan,Số tự động,30,xăng,1.5
Mercedes Benz,E Class E200 2019,1039000000,2019,66000,Lắp ráp trong nước,Sedan,Số tự động,30,xăng,2.0
Mercedes Benz,E Class E250 2010,315000000,2010,150000,Lắp ráp trong nước,Sedan,Số tự động,30,xăng,1.8
Mitsubishi,Attrage Premium 1 2 Cvt 2022,360000000,2022,62000,Nhập khẩu,Sedan,Số tự động,31,xăng,1.2
Mitsubishi,Triton 4X2 At Mivec 2021,500000000,2021,60000,Nhập khẩu,Bán tải / Pickup,Số tự động,30,dầu,2.4
Peugeot,408 Premium 1 6 At 2023,890000000,2023,19000,Lắp ráp trong nước,Crossover,Số tự động,31,xăng,1.6
Toyota,Corolla Cross 1 8V 2021,685000000,2021,61000,Nhập khẩu,SUV,Số tự động,31,xăng,1.8
Toyota,Veloz Cross 1 5 Cvt 2022,530000000,2022,32000,Nhập khẩu,SUV,Số tự động,30,xăng,1.5
Audi,A4 40 Tfsi Advanced 2019,989000000,2019,22000,Nhập khẩu,Sedan,Số tự động,31,xăng,2.0
Bmw,3 Series 320I Sport Line 2022,1279000000,2022,42000,Lắp ráp trong nước,Sedan,Số tự động,31,xăng,2.0
Bmw,5 Series 520I 2023,1738000000,2023,21000,Lắp ráp trong nước,Sedan,Số tự động,31,xăng,2.0
Honda,Crv 2 4 At 2014,465000000,2014,90000,Lắp ráp trong nước,SUV,Số tự động,31,xăng,2.4
Hyundai,Santafe Cao Cap 2 2L Htrac 2023,1190000000,2023,44000,Lắp ráp trong nước,SUV,Số tự động,31,dầu,2.2
Kia,Carnival Premium 2 2D 2022,1090000000,2022,70000,Lắp ráp trong nước,Van/Minivan,Số tự động,31,dầu,2.2
Mazda,Cx5 2 0 At 2017,495000000,2017,120000,Lắp ráp trong nước,SUV,Số tự động,31,xăng,2.0
Mercedes Benz,Cla Class Cla 200 2018,679000000,2018,42000,Nhập khẩu,Sedan,Số tự động,31,xăng,1.6
Mercedes Benz,E Class E200 2019,1038000000,2019,65000,Lắp ráp trong nước,Sedan,Số tự động,31,xăng,2.0
Mercedes Benz,Glc 300 4Matic 2017,899000000,2017,67000,Lắp ráp trong nước,SUV,Số tự động,31,xăng,2.0
Mercedes Benz,Glc 300 4Matic 2019,1088000000,2019,44000,Lắp ráp trong nước,SUV,Số tự động,31,xăng,2.0
Mercedes Benz,Ml Class Ml400 Amg 4Matic 2014,819000000,2014,99000,Nhập khẩu,SUV,Số tự động,31,xăng,3.0
