Hãng xe,Dòng xe,Giá thành,Thông số
Audi,A6 2 0 Tfsi 2014,499000000,"Năm sản xuất: 2014, Số Km đã đi: 68000, Xuất xứ: Nhập khẩu, Kiểu dáng: Sedan, Hộp số: Số tự động, Tuổi thọ: 30, Loại động cơ: Xăng, Dung tích động cơ: 2.0"
Bmw,X4 Xdrive20I M Sport 2020,1750000000,"Năm sản xuất: 2020, Số Km đã đi: 40000, Xuất xứ: Nhập khẩu, Kiểu dáng: SUV, Hộp số: Số tự động, Tuổi thọ: 31, Loại động cơ: Xăng, Dung tích động cơ: 2.0"
Bmw,X6 Xdrive35I 2008,450000000,"Năm sản xuất: 2008, Số Km đã đi: 0, Xuất xứ: Nhập khẩu, Kiểu dáng: SUV, Hộp số: Số tự động, Tuổi thọ: 30, Loại động cơ: Xăng, Dung tích động cơ: 3.0"
Ford,Territory Titanium 1 5 At 2022,735000000,"Năm sản xuất: 2022, Số Km đã đi: 55000, Xuất xứ: Lắp ráp trong nước, Kiểu dáng: SUV, Hộp số: Số tự động, Tuổi thọ: 31, Loại động cơ: Xăng, Dung tích động cơ: 1.5"
Kia,Morning Si At 2015,248000000,"Năm sản xuất: 2015, Số Km đã đi: 70000, Xuất xứ: Lắp ráp trong nước, Kiểu dáng: Hatchback, Hộp số: Số tự động, Tuổi thọ: 30, Loại động cơ: Xăng, Dung tích động cơ: 1.25"
Kia,Sedona 2 2L Dath 2018,645000000,"Năm sản xuất: 2018, Số Km đã đi: 73000, Xuất xứ: Lắp ráp trong nước, Kiểu dáng: Van/Minivan, Hộp số: Số tự động, Tuổi thọ: 31, Loại động cơ: Dầu, Dung tích động cơ: 2.2"
Kia,Sonet Premium 1 5 At 2023,565000000,"Năm sản xuất: 2023, Số Km đã đi: 30000, Xuất xứ: Lắp ráp trong nước, Kiểu dáng: Crossover, Hộp số: Số tự động, Tuổi thọ: 31, Loại động cơ: Xăng, Dung tích động cơ: 1.5"
Mazda,3 1 5L Luxury 2023,560000000,"Năm sản xuất: 2023, Số Km đã đi: 18068, Xuất xứ: Lắp ráp trong nước, Kiểu dáng: Sedan, Hộp số: Số tự động, Tuổi thọ: 30, Loại động cơ: Xăng, Dung tích động cơ: 1.5"
Mercedes Benz,E Class E200 2019,1039000000,"Năm sản xuất: 2019, Số Km đã đi: 66000, Xuất xứ: Lắp ráp trong nước, Kiểu dáng: Sedan, Hộp số: Số tự động, Tuổi thọ: 30, Loại động cơ: Xăng, Dung tích động cơ: 2.0"
Mercedes Benz,E Class E250 2010,315000000,"Năm sản xuất: 2010, Số Km đã đi: 150000, Xuất xứ: Lắp ráp trong nước, Kiểu dáng: Sedan, Hộp số: Số tự động, Tuổi thọ: 30, Loại động cơ: Xăng, Dung tích động cơ: 1.8"
Mercedes Benz,Eqb 250 2024,2239000000,"Năm sản xuất: 2024, Số Km đã đi: 10, Xuất xứ: Nhập khẩu, Kiểu dáng: SUV, Hộp số: Số tự động, Tuổi thọ: 30, Loại động cơ: Điện, Dung tích động cơ: 0.0"
Mercedes Benz,G Class G63 Amg 2021,7586000000,"Năm sản xuất: 2021, Số Km đã đi: 0, Xuất xứ: Nhập khẩu, Kiểu dáng: SUV, Hộp số: Số tự động, Tuổi thọ: 30, Loại động cơ: Xăng, Dung tích động cơ: 4.0"
