Hãng xe,Dòng xe,Giá thành,Năm sản xuất,Số Km đã đi,Xuất xứ,Kiểu dáng,Hộp số,Tuổi thọ,Loại động cơ,Dung tích động cơ
2,391,499000000,-0.9118854043961973,-0.012932783483348257,1,6,1,-0.6478011379951741,2,-0.07111809691209854
5,4227,1750000000,0.33412639860198257,-0.016891356442119587,1,5,1,-0.604528152916388,2,-0.07111809691209854
5,4245,450000000,-2.157897207394377,-0.022546460668935776,1,5,1,-0.6478011379951741,2,1.0709407855662043
18,3803,735000000,0.7494636662680425,-0.014770692357063518,0,5,1,-0.604528152916388,2,-0.64214753815125
35,2652,248000000,-0.7042167705631672,-0.012650028272007448,0,4,1,-0.6478011379951741,2,-0.9276622587708258
35,3446,645000000,-0.08121086906407739,-0.012225895454996234,0,8,1,-0.604528152916388,0,0.15729367958356225
35,3562,565000000,0.9571323001010724,-0.018305132498823633,0,3,1,-0.604528152916388,2,-0.64214753815125
44,83,560000000,0.9571323001010724,-0.019992050089682904,0,6,1,-0.6478011379951741,2,-0.64214753815125
47,1399,1039000000,0.1264577647689526,-0.013215538694689067,0,6,1,-0.6478011379951741,2,-0.07111809691209854
47,1413,315000000,-1.7425599397283171,-0.0013398198183750746,0,6,1,-0.6478011379951741,2,-0.2995298734077591
47,1501,2239000000,1.1648009339341023,-0.022545046892879072,1,5,1,-0.6478011379951741,3,-2.3552358618687044
47,1842,7586000000,0.5417950324350125,-0.022546460668935776,1,5,1,-0.6478011379951741,2,2.212999668044507
50,514,360000000,0.7494636662680425,-0.013781049117370686,1,6,1,-0.604528152916388,2,-0.984765202894741
50,3911,500000000,0.5417950324350125,-0.014063804328711495,1,0,1,-0.6478011379951741,0,0.3857054560792225
55,207,890000000,0.9571323001010724,-0.019860286161198087,0,3,1,-0.604528152916388,2,-0.5279416499034196
65,2026,175000000,-3.196240376559527,0.0043152844084411125,1,5,1,-0.604528152916388,2,0.7283231208227138
71,674,139000000,-6.1036012502219466,0.0014877322950330187,1,6,0,-0.6478011379951741,2,-0.07111809691209854
71,1119,685000000,0.5417950324350125,-0.01392242672304109,1,5,1,-0.604528152916388,2,-0.2995298734077591
71,4019,530000000,0.7494636662680425,-0.018022377287482825,1,5,1,-0.6478011379951741,2,-0.64214753815125
2,381,989000000,0.1264577647689526,-0.01943615334418687,1,6,1,-0.604528152916388,2,-0.07111809691209854
5,146,1279000000,0.7494636662680425,-0.01660860123077878,0,6,1,-0.604528152916388,2,-0.07111809691209854
5,227,1738000000,0.9571323001010724,-0.019577530949857275,0,6,1,-0.604528152916388,2,-0.07111809691209854
23,1201,465000000,-0.9118854043961973,-0.009822476158599354,0,5,1,-0.604528152916388,2,0.3857054560792225
26,3386,1190000000,0.9571323001010724,-0.01632584601943797,0,5,1,-0.604528152916388,0,0.15729367958356225
35,815,1090000000,0.7494636662680425,-0.012650028272007448,0,8,1,-0.604528152916388,0,0.15729367958356225
38,2480,9399000000,1.3724695677671324,-0.021980950246254155,1,5,1,-0.604528152916388,2,1.5277643385575255
44,1266,495000000,-0.28887950289710734,-0.005581147988487215,0,5,1,-0.604528152916388,2,-0.07111809691209854
47,982,679000000,-0.08121086906407739,-0.01660860123077878,1,6,1,-0.604528152916388,2,-0.5279416499034196
47,1399,1038000000,0.1264577647689526,-0.013356916300359472,0,6,1,-0.604528152916388,2,-0.07111809691209854
47,1936,899000000,-0.28887950289710734,-0.013074161089018661,0,5,1,-0.604528152916388,2,-0.07111809691209854
47,1938,1088000000,0.1264577647689526,-0.01632584601943797,0,5,1,-0.604528152916388,2,-0.07111809691209854
47,2562,819000000,-0.9118854043961973,-0.008550077707565712,1,5,1,-0.604528152916388,2,1.0709407855662043
48,4399,435000000,0.5417950324350125,-0.014063804328711495,1,3,1,-0.604528152916388,2,-0.64214753815125
50,2801,680000000,0.5417950324350125,-0.012508650666337044,0,5,1,-0.604528152916388,2,-0.07111809691209854
71,4165,285000000,0.1264577647689526,-0.014629314751393114,1,4,1,-0.604528152916388,2,-0.984765202894741
75,1659,315000000,0.33412639860198257,-0.016891356442119587,0,4,1,-0.604528152916388,2,-0.7563534263990804
75,1660,315000000,0.5417950324350125,-0.01844651010449404,0,4,1,-0.604528152916388,2,-0.7563534263990804
75,1660,320000000,0.5417950324350125,-0.016891356442119587,0,4,1,-0.604528152916388,2,-0.7563534263990804
75,1665,330000000,0.7494636662680425,-0.018305132498823633,0,4,1,-0.604528152916388,2,-0.7563534263990804
18,1575,375000000,-0.9118854043961973,-0.022546460668935776,0,5,1,-0.604528152916388,0,0.4999113443270529
18,1720,315000000,-0.7042167705631672,-0.008408700101895308,0,4,1,-0.604528152916388,2,-0.07111809691209854
18,3126,550000000,0.1264577647689526,-0.022546460668935776,1,0,1,-0.604528152916388,0,-0.07111809691209854
23,1219,733000000,0.1264577647689526,-0.015477580385415541,1,5,1,-0.604528152916388,2,-0.64214753815125
26,3420,815000000,0.5417950324350125,-0.01180176263798502,0,5,1,-0.604528152916388,0,0.15729367958356225
