Hãng xe,Dòng xe,Giá thành,Năm sản xuất,Số Km đã đi,Dung tích động cơ,Loại động cơ,Hộp số,Xuất xứ,Kiểu dáng,Số ngày bài đã đăng
audi,a6 2.0 tfsi 2014,499,2014.0,68000.0,2.0,xăng,số tự động,nhập khẩu,sedan,56.0
bmw,x4 xdrive20i m sport 2020,1750,2020.0,40000.0,2.0,xăng,số tự động,nhập khẩu,suv,57.0
bmw,x6 xdrive35i 2008,450,2008.0,179626.7683965918,3.0,xăng,số tự động,nhập khẩu,suv,56.0
ford,territory titanium 1.5 at 2022,735,2022.0,55000.0,1.5,xăng,số tự động,lắp ráp trong nước,suv,57.0
kia,morning si at 2015,248,2015.0,70000.0,1.25,xăng,số tự động,lắp ráp trong nước,hatchback,56.0
kia,sedona 2.2l dath 2018,645,2018.0,73000.0,2.2,dầu,số tự động,lắp ráp trong nước,van/minivan,57.0
kia,sonet premium 1.5 at 2023,565,2023.0,30000.0,1.5,xăng,số tự động,lắp ráp trong nước,crossover,57.0
mazda,3 1.5l luxury 2023,560,2023.0,18068.0,1.5,xăng,số tự động,lắp ráp trong nước,sedan,56.0
mercedes,benz e class e200 2019,1039,2019.0,66000.0,2.0,xăng,số tự động,lắp ráp trong nước,sedan,56.0
mercedes,benz e class e250 2010,315,2010.0,150000.0,1.8,xăng,số tự động,lắp ráp trong nước,sedan,56.0
mercedes,benz eqb 250 2024,2239,2024.0,10.0,0.7,điện,số tự động,nhập khẩu,suv,56.0
mitsubishi,attrage premium 1.2 cvt 2022,360,2022.0,62000.0,1.2,xăng,số tự động,nhập khẩu,sedan,57.0
mitsubishi,triton 4x2 at mivec 2021,500,2021.0,60000.0,2.4,dầu,số tự động,nhập khẩu,bán tải / pickup,56.0
peugeot,408 premium 1.6 at 2023,890,2023.0,19000.0,1.6,xăng,số tự động,lắp ráp trong nước,crossover,57.0
toyota,corolla cross 1.8v 2021,685,2021.0,61000.0,1.8,xăng,số tự động,nhập khẩu,suv,57.0
toyota,veloz cross 1.5 cvt 2022,530,2022.0,32000.0,1.5,xăng,số tự động,nhập khẩu,suv,56.0
audi,a4 40 tfsi advanced 2019,989,2019.0,22000.0,2.0,xăng,số tự động,nhập khẩu,sedan,57.0
