Hãng xe,Dòng xe,Giá thành,Năm sản xuất,Số Km đã đi,Dung tích động cơ,Loại động cơ,Hộp số,Xuất xứ,Kiểu dáng,Số ngày bài đã đăng
audi,a6 2.0 tfsi 2014,6.214608098422191,2014.0,11.127277689932466,2.0,xăng,số tự động,nhập khẩu,sedan,56.0
bmw,x4 xdrive20i m sport 2020,7.467942332285852,2020.0,10.596659732783579,2.0,xăng,số tự động,nhập khẩu,suv,57.0
bmw,x6 xdrive35i 2008,6.111467339502679,2008.0,12.098642035352146,3.0,xăng,số tự động,nhập khẩu,suv,56.0
ford,territory titanium 1.5 at 2022,6.601230118728877,2022.0,10.915106645867503,1.5,xăng,số tự động,lắp ráp trong nước,suv,57.0
kia,morning si at 2015,5.517452896464707,2015.0,11.156264806643742,1.25,xăng,số tự động,lắp ráp trong nước,hatchback,56.0
kia,sedona 2.2l dath 2018,6.470799503782602,2018.0,11.19822841866684,2.2,dầu,số tự động,lắp ráp trong nước,van/minivan,57.0
kia,sonet premium 1.5 at 2023,6.338594078203183,2023.0,10.308985993422082,1.5,xăng,số tự động,lắp ráp trong nước,crossover,57.0
mazda,3 1.5l luxury 2023,6.329720905522696,2023.0,9.801953041711831,1.5,xăng,số tự động,lắp ráp trong nước,sedan,56.0
mercedes,benz e class e200 2019,6.946975992135418,2019.0,11.097425172408931,2.0,xăng,số tự động,lắp ráp trong nước,sedan,56.0
mercedes,benz e class e250 2010,5.755742213586912,2010.0,11.918397239722838,1.8,xăng,số tự động,lắp ráp trong nước,sedan,56.0
mercedes,benz eqb 250 2024,7.7142311448490855,2024.0,2.3978952727983707,0.7,điện,số tự động,nhập khẩu,suv,56.0
mitsubishi,attrage premium 1.2 cvt 2022,5.8888779583328805,2022.0,11.034905792929415,1.2,xăng,số tự động,nhập khẩu,sedan,57.0
mitsubishi,triton 4x2 at mivec 2021,6.2166061010848646,2021.0,11.002116507732017,2.4,dầu,số tự động,nhập khẩu,bán tải / pickup,56.0
peugeot,408 premium 1.6 at 2023,6.792344427470809,2023.0,9.852246888342531,1.6,xăng,số tự động,lắp ráp trong nước,crossover,57.0
toyota,corolla cross 1.8v 2021,6.530877627725885,2021.0,11.0186455364637,1.8,xăng,số tự động,nhập khẩu,suv,57.0
toyota,veloz cross 1.5 cvt 2022,6.274762021241939,2022.0,10.373522431293592,1.5,xăng,số tự động,nhập khẩu,suv,56.0
audi,a4 40 tfsi advanced 2019,6.897704943128636,2019.0,9.99884318585288,2.0,xăng,số tự động,nhập khẩu,sedan,57.0
bmw,3 series 320i sport line 2022,7.154615356913663,2022.0,10.645448706505872,2.0,xăng,số tự động,lắp ráp trong nước,sedan,57.0
bmw,5 series 520i 2023,7.461065514354283,2023.0,9.952325334619427,2.0,xăng,số tự động,lắp ráp trong nước,sedan,57.0
honda,crv 2.4 at 2014,6.144185634125646,2014.0,11.407576060361786,2.4,xăng,số tự động,lắp ráp trong nước,suv,57.0
hyundai,santafe cao cấp 2.2l htrac 2023,7.0825485693553,2023.0,10.691967639914864,2.2,dầu,số tự động,lắp ráp trong nước,suv,57.0
kia,carnival premium 2.2d 2022,6.994849985833071,2022.0,11.156264806643742,2.2,dầu,số tự động,lắp ráp trong nước,van/minivan,57.0
mazda,cx5 2.0 at 2017,6.206575926724928,2017.0,11.695255355062795,2.0,xăng,số tự động,lắp ráp trong nước,suv,57.0
mercedes,benz cla class cla 200 2018,6.522092798170152,2018.0,10.645448706505872,1.6,xăng,số tự động,nhập khẩu,sedan,57.0
mercedes,benz e class e200 2019,6.946013991099227,2019.0,11.082157933374816,2.0,xăng,số tự động,lắp ráp trong nước,sedan,57.0
mercedes,benz glc 300 4matic 2017,6.802394763324311,2017.0,11.112462823634855,2.0,xăng,số tự động,lắp ráp trong nước,suv,57.0
mercedes,benz glc 300 4matic 2019,6.9930151229329605,2019.0,10.691967639914864,2.0,xăng,số tự động,lắp ráp trong nước,suv,57.0
mercedes,benz ml class ml400 amg 4matic 2014,6.709304340258299,2014.0,11.502885230075814,3.0,xăng,số tự động,nhập khẩu,suv,57.0
